Match ID,Competition Name,Match Date,Home Team,Score Home,Score Away,Away Team
300417806,FIFA World Cup 2018 Qualifiers - Play-off CONCACAF/AFC,2017-11-15T09:00:00Z,Australia,3,1,Honduras
300390697,Friendlies,2017-06-13T09:05:00Z,Australia,0,4,Brazil
300431275,Friendlies,2018-03-23T16:00:00Z,Norway,4,1,Australia
300426626,Friendlies,2018-03-27T19:00:00Z,Colombia,0,0,Australia
300332084,FIFA World Cup 2018 Qualifiers - Europe,2017-03-25T18:45:00Z,Belgium,1,1,Greece
300332079,FIFA World Cup 2018 Qualifiers - Europe,2017-06-09T18:45:00Z,Estonia,0,2,Belgium
300361582,FIFA World Cup 2018 Qualifiers - Europe,2017-08-31T18:45:00Z,Belgium,9,0,Gibraltar
300332103,FIFA World Cup 2018 Qualifiers - Europe,2017-09-03T18:45:00Z,Greece,1,2,Belgium
300332106,FIFA World Cup 2018 Qualifiers - Europe,2017-10-07T16:00:00Z,Bosnia and Herzegovina,3,4,Belgium
300332069,FIFA World Cup 2018 Qualifiers - Europe,2017-10-10T18:45:00Z,Belgium,4,0,Cyprus
300382291,Friendlies,2017-03-28T20:00:00Z,Russia,3,3,Belgium
300418466,Friendlies,2017-11-10T18:45:00Z,Belgium,3,3,Mexico
300418920,Friendlies,2017-11-14T20:45:00Z,Belgium,1,0,Japan
300433380,Friendlies,2018-03-27T18:45:00Z,Belgium,4,0,Saudi Arabia
300382307,Friendlies,2017-01-26T00:45:00Z,Brazil,1,0,Colombia
300416925,Friendlies,2017-11-10T12:00:00Z,Japan,1,3,Brazil
300418733,Friendlies,2017-11-14T19:00:00Z,England,0,0,Brazil
300362073,FIFA World Cup 2018 Qualifiers - South America,2017-03-23T23:00:00Z,Uruguay,1,4,Brazil
300362102,FIFA World Cup 2018 Qualifiers - South America,2017-03-29T00:45:00Z,Brazil,3,0,Paraguay
300362092,FIFA World Cup 2018 Qualifiers - South America,2017-09-01T00:45:00Z,Brazil,2,0,Ecuador
300362095,FIFA World Cup 2018 Qualifiers - South America,2017-09-05T20:30:00Z,Colombia,1,1,Brazil
300362074,FIFA World Cup 2018 Qualifiers - South America,2017-10-05T20:00:00Z,Bolivia,0,0,Brazil
300362088,FIFA World Cup 2018 Qualifiers - South America,2017-10-10T23:30:00Z,Brazil,3,0,Chile
300434209,Friendlies,2018-03-23T16:00:00Z,Russia,0,3,Brazil
300431740,Friendlies,2018-03-27T20:45:00Z,Germany,0,1,Brazil
300394513,Friendlies,2017-06-07T19:30:00Z,Spain,2,2,Colombia
300397820,Friendlies,2017-06-13T20:30:00Z,Cameroon,0,4,Colombia
300418476,Friendlies,2017-11-10T11:00:00Z,Korea Republic,2,1,Colombia
300418926,Friendlies,2017-11-14T11:35:00Z,China PR,0,4,Colombia
300362083,FIFA World Cup 2018 Qualifiers - South America,2017-03-23T20:30:00Z,Colombia,1,0,Bolivia
300362094,FIFA World Cup 2018 Qualifiers - South America,2017-03-28T21:00:00Z,Ecuador,0,2,Colombia
300362093,FIFA World Cup 2018 Qualifiers - South America,2017-08-31T21:00:00Z,Venezuela,0,0,Colombia
300362085,FIFA World Cup 2018 Qualifiers - South America,2017-10-05T23:30:00Z,Colombia,1,2,Paraguay
300362082,FIFA World Cup 2018 Qualifiers - South America,2017-10-10T23:30:00Z,Peru,1,1,Colombia
300430490,Friendlies,2018-03-23T19:00:00Z,France,2,3,Colombia
300418915,Friendlies,2017-11-11T20:30:00Z,Spain,5,0,Costa Rica
300418925,Friendlies,2017-11-14T18:15:00Z,Hungary,1,0,Costa Rica
300392883,CONCACAF Gold Cup 2017,2017-07-08T01:00:00Z,Honduras,0,1,Costa Rica
300392882,CONCACAF Gold Cup 2017,2017-07-11T23:30:00Z,Costa Rica,1,1,Canada
300408678,CONCACAF Gold Cup 2017,2017-07-19T22:00:00Z,Costa Rica,1,0,Panama
300409359,CONCACAF Gold Cup 2017,2017-07-23T02:00:00Z,Costa Rica,0,2,USA
300364751,"FIFA World Cup 2018 Qualifiers - North, Central America and the Caribbean",2017-03-25T01:50:00Z,Mexico,2,0,Costa Rica
300364749,"FIFA World Cup 2018 Qualifiers - North, Central America and the Caribbean",2017-03-28T21:00:00Z,Honduras,1,1,Costa Rica
300364762,"FIFA World Cup 2018 Qualifiers - North, Central America and the Caribbean",2017-06-09T02:00:00Z,Costa Rica,0,0,Panama
300364753,"FIFA World Cup 2018 Qualifiers - North, Central America and the Caribbean",2017-06-14T02:00:00Z,Costa Rica,2,1,Trinidad and Tobago
300364758,"FIFA World Cup 2018 Qualifiers - North, Central America and the Caribbean",2017-09-01T22:55:00Z,USA,0,2,Costa Rica
300364759,"FIFA World Cup 2018 Qualifiers - North, Central America and the Caribbean",2017-09-06T02:05:00Z,Costa Rica,1,1,Mexico
300364761,"FIFA World Cup 2018 Qualifiers - North, Central America and the Caribbean",2017-10-07T22:00:00Z,Costa Rica,1,1,Honduras
300364765,"FIFA World Cup 2018 Qualifiers - North, Central America and the Caribbean",2017-10-11T00:00:00Z,Panama,2,1,Costa Rica
